,district,rooms,size,level,max_levels,price
3935,Mirzo Ulugbek,4,93.0,2,4,75000
3936,Mirobod,3,65.0,3,4,58500
3937,Yashnobod,4,50.0,1,4,35000
3938,Yunusobod,3,60.0,3,4,75000
3939,Uchtepa,2,48.0,4,5,28500
3940,Uchtepa,2,50.0,4,4,30000
3941,Chilonzor,3,88.0,4,4,59990
3942,Uchtepa,3,68.0,3,4,52500
3943,Chilonzor,3,72.0,2,9,62000
3944,Chilonzor,3,64.0,1,2,45000
3945,Uchtepa,2,58.0,2,9,42200
3946,Chilonzor,3,68.0,1,4,45200
3947,Yunusobod,3,130.0,3,8,200000
3948,Mirobod,3,72.0,2,9,82000
3949,Yakkasaroy,2,53.0,5,8,43000
3950,Mirzo Ulugbek,3,75.0,5,5,38000
3951,Mirobod,3,75.0,4,5,72000
3952,Yakkasaroy,2,79.0,13,17,101564
3953,Yakkasaroy,7,216.0,7,8,250000
3954,Mirobod,2,60.0,2,9,60000
3955,Mirobod,4,121.0,6,10,109989
3956,Mirzo Ulugbek,3,54.0,1,1,35500
3957,Mirzo Ulugbek,2,49.3,4,4,39900
3958,Mirzo Ulugbek,3,64.0,3,4,39000
3959,Yunusobod,3,72.0,4,4,96000
3960,Chilonzor,2,42.0,1,4,35000
3961,Yashnobod,3,65.0,4,4,55000
3962,Mirzo Ulugbek,3,64.0,3,5,52000
3963,Chilonzor,2,48.0,2,4,34500
3964,Yunusobod,2,50.0,2,4,31000
3965,Yashnobod,2,65.0,2,4,68000
3966,Mirzo Ulugbek,3,115.0,4,4,87000
3967,Chilonzor,2,75.0,1,8,60000
3968,Olmzor,4,80.0,1,4,53000
3969,Mirzo Ulugbek,2,52.0,3,4,35500
3970,Shayhontohur,4,100.0,2,9,72000
3971,Olmzor,2,74.0,4,9,41000
3972,Shayhontohur,5,150.0,2,2,138000
3973,Mirzo Ulugbek,2,50.0,1,4,30000
3974,Mirzo Ulugbek,3,94.0,16,23,118000
3975,Mirzo Ulugbek,3,83.0,6,16,83000
3976,Mirobod,3,75.0,3,9,70000
3977,Mirobod,3,75.0,2,9,74000
3978,Mirobod,2,65.0,8,9,52000
3979,Shayhontohur,3,75.0,5,9,52000
3980,Mirobod,3,110.0,2,8,169000
3981,Mirzo Ulugbek,2,52.0,4,5,36500
3982,Olmzor,3,83.0,4,9,55000
3983,Uchtepa,1,34.0,2,4,28500
3984,Mirobod,4,85.0,3,4,55000
3985,Yunusobod,3,78.0,4,4,55000
3986,Uchtepa,2,52.0,4,5,33500
3987,Mirzo Ulugbek,2,60.0,6,9,34000
3988,Mirzo Ulugbek,1,35.0,4,4,27000
3989,Chilonzor,1,30.0,2,4,27000
3990,Mirobod,3,110.0,7,9,130000
3991,Yakkasaroy,1,35.0,16,16,17700
3992,Uchtepa,2,42.0,4,5,28500
3993,Olmzor,3,107.0,2,7,105000
3994,Yakkasaroy,4,100.0,9,9,50000
3995,Mirobod,3,87.0,3,9,84000
3996,Olmzor,3,107.0,3,7,102000
3997,Shayhontohur,3,85.0,4,7,170000
3998,Mirzo Ulugbek,2,40.0,2,5,33500
3999,Yunusobod,4,78.0,1,4,52000
4000,Mirzo Ulugbek,2,55.0,5,5,35000
4001,Mirzo Ulugbek,2,50.0,4,4,33000
4002,Mirzo Ulugbek,2,50.0,5,5,35000
4003,Yunusobod,3,70.0,3,4,47000
4004,Mirzo Ulugbek,2,58.0,4,4,34996
4005,Yakkasaroy,1,43.0,5,16,37000
4006,Yakkasaroy,3,62.0,7,9,45000
4007,Yakkasaroy,3,63.0,7,9,45000
4008,Yunusobod,2,60.0,3,5,39000
4009,Yunusobod,2,58.0,2,4,41500
4010,Yunusobod,2,58.0,5,9,42000
4011,Yunusobod,2,58.0,5,9,42000
4012,Mirzo Ulugbek,1,42.0,1,4,26500
4013,Yunusobod,2,65.0,5,9,42000
4014,Yunusobod,2,55.0,1,9,42000
4015,Yunusobod,4,110.0,4,9,96000
4016,Mirobod,3,62.0,4,4,33000
4017,Uchtepa,1,45.0,5,9,25600
4018,Yakkasaroy,2,47.3,7,9,52000
4019,Yunusobod,2,63.0,1,4,40000
4020,Yashnobod,2,64.0,4,9,52000
4021,Shayhontohur,1,50.0,9,9,23000
4022,Chilonzor,2,60.0,2,4,38000
4023,Chilonzor,2,60.0,1,4,47500
4024,Mirzo Ulugbek,4,139.0,5,9,295000
4025,Mirzo Ulugbek,2,60.0,1,9,49000
4026,Mirobod,3,100.0,4,4,87000
4027,Yakkasaroy,4,120.0,1,4,132000
4028,Mirzo Ulugbek,2,65.0,3,4,56500
4029,Yunusobod,3,70.0,3,4,63000
4030,Mirzo Ulugbek,2,55.0,4,4,52500
4031,Shayhontohur,3,73.0,1,9,75000
4032,Mirzo Ulugbek,5,157.0,1,4,150000
4033,Mirobod,2,60.0,2,6,77000
4034,Mirzo Ulugbek,3,94.0,16,22,118000
4035,Mirzo Ulugbek,1,36.0,4,4,21000
4036,Mirzo Ulugbek,2,62.0,9,9,28000
4037,Yunusobod,3,75.0,3,4,43000
4038,Olmzor,4,86.0,4,5,40000
4039,Sergeli,1,32.0,1,1,16500
4040,Olmzor,3,70.0,2,5,36000
4041,Yunusobod,1,43.0,1,4,45000
4042,Yunusobod,1,43.0,3,4,39000
4043,Yashnobod,2,47.2,3,4,30000
4044,Yunusobod,5,140.0,8,9,85000
4045,Yangihayot,2,63.0,2,7,26500
4046,Shayhontohur,3,85.0,4,12,53000
4047,Chilonzor,3,98.0,8,9,60000
4048,Mirobod,1,35.0,4,4,48000
4049,Yunusobod,3,80.0,1,5,50000
4050,Shayhontohur,7,230.0,2,5,230000
4051,Mirobod,2,65.0,2,9,60000
4052,Chilonzor,2,70.0,2,7,56000
4053,Chilonzor,3,77.0,1,4,48000
4054,Chilonzor,2,50.0,3,5,34500
4055,Chilonzor,2,48.0,3,4,31000
4056,Chilonzor,2,50.0,3,5,35500
4057,Chilonzor,2,60.0,4,5,37500
4058,Chilonzor,2,54.0,3,5,36500
4059,Chilonzor,1,42.0,4,9,28500
4060,Chilonzor,1,36.0,3,5,27500
4061,Olmzor,3,58.0,2,9,37751
4062,Mirzo Ulugbek,3,117.0,2,5,132000
4063,Mirobod,6,170.0,8,9,130000
4064,Mirzo Ulugbek,3,103.0,1,4,170000
4065,Chilonzor,2,45.0,1,4,39500
4066,Mirobod,2,60.0,2,6,77000
4067,Mirobod,4,120.0,1,4,132000
4068,Shayhontohur,2,65.0,2,4,56500
4069,Yakkasaroy,2,55.0,4,4,37000
4070,Mirobod,3,85.0,5,9,74000
4071,Mirobod,4,115.0,5,5,115000
4072,Yakkasaroy,2,51.0,2,4,48000
4073,Yunusobod,3,73.0,3,5,60000
4074,Uchtepa,2,56.0,3,5,32000
4075,Yakkasaroy,1,43.0,5,16,37000
4076,Chilonzor,2,46.0,3,4,25000
4077,Uchtepa,1,26.4,1,4,18500
4078,Shayhontohur,2,65.0,3,4,56500
4079,Uchtepa,1,40.0,1,5,25200
4080,Shayhontohur,3,70.0,2,4,55000
4081,Mirzo Ulugbek,4,92.0,4,5,54600
4082,Shayhontohur,3,75.0,1,9,78000
4083,Mirzo Ulugbek,3,73.0,7,8,47500
4084,Chilonzor,3,67.0,2,4,52500
4085,Mirobod,2,60.0,2,6,77000
4086,Sergeli,3,71.0,3,7,52000
4087,Mirzo Ulugbek,3,75.0,5,5,39000
4088,Shayhontohur,3,75.0,2,4,67000
4089,Shayhontohur,2,65.0,3,4,56000
4090,Yunusobod,1,50.0,7,9,36998
4091,Olmzor,1,43.0,4,4,27000
4092,Yunusobod,2,60.0,2,9,52000
4093,Mirobod,2,68.0,8,8,90000
4094,Olmzor,4,85.0,3,5,78000
4095,Yunusobod,2,55.0,1,3,43500
4096,Uchtepa,2,57.0,5,5,36000
4097,Mirobod,4,120.0,1,5,134500
4098,Mirobod,2,70.0,7,8,65000
4099,Yunusobod,2,58.0,2,4,45000
4100,Mirobod,3,108.0,5,10,103000
4101,Yakkasaroy,4,90.0,3,4,88000
4102,Olmzor,4,100.0,9,9,62500
4103,Uchtepa,1,40.0,1,5,25150
4104,Olmzor,3,75.0,1,9,73000
4105,Mirzo Ulugbek,3,71.0,3,8,53000
4106,Mirzo Ulugbek,2,78.0,1,4,26500
4107,Chilonzor,5,169.0,5,9,93000
4108,Yunusobod,2,62.0,3,4,55000
4109,Olmzor,2,46.0,4,4,30000
4110,Chilonzor,2,70.0,9,12,42000
4111,Mirzo Ulugbek,3,152.0,4,8,285000
4112,Yakkasaroy,3,70.0,2,5,70000
4113,Mirzo Ulugbek,3,58.0,1,4,47000
4114,Shayhontohur,2,65.0,3,4,56500
4115,Uchtepa,2,50.0,1,4,36000
4116,Mirzo Ulugbek,1,42.0,1,4,26500
4117,Yunusobod,2,58.0,2,4,41500
4118,Mirobod,3,64.0,4,4,38500
4119,Mirzo Ulugbek,2,50.0,4,4,35000
4120,Mirzo Ulugbek,3,100.0,6,7,75000
4121,Mirzo Ulugbek,2,45.0,3,7,45000
4122,Mirzo Ulugbek,2,38.0,4,5,35000
4123,Mirzo Ulugbek,4,86.0,2,5,80000
4124,Mirzo Ulugbek,1,38.0,3,4,42000
4125,Yunusobod,2,49.0,2,4,36000
4126,Uchtepa,2,56.0,6,9,34500
4127,Sergeli,3,85.0,1,9,59000
4128,Olmzor,2,58.0,4,5,36000
4129,Mirzo Ulugbek,2,50.0,5,5,35000
4130,Yashnobod,2,65.0,3,4,56500
4131,Mirzo Ulugbek,2,55.0,5,5,35000
4132,Shayhontohur,3,78.0,1,3,98000
4133,Chilonzor,2,47.0,2,4,29000
4134,Mirzo Ulugbek,2,50.0,1,4,30000
4135,Mirzo Ulugbek,2,45.0,2,5,33500
4136,Chilonzor,2,48.0,4,4,32500
4137,Uchtepa,2,42.0,4,5,28500
4138,Chilonzor,2,47.0,2,4,38700
4139,Mirobod,1,40.0,4,4,46500
4140,Mirzo Ulugbek,2,66.0,6,9,33500
4141,Chilonzor,3,60.0,1,4,41500
4142,Olmzor,1,58.0,4,7,46000
4143,Yunusobod,2,59.0,2,4,57000
4144,Mirobod,4,125.0,2,4,65000
4145,Shayhontohur,7,230.0,2,5,230000
4146,Mirzo Ulugbek,2,60.0,4,4,34000
4147,Mirobod,3,135.0,3,9,88000
4148,Mirzo Ulugbek,2,50.0,3,4,33000
4149,Shayhontohur,2,78.0,3,5,71000
4150,Mirzo Ulugbek,2,48.0,4,4,28000
4151,Mirzo Ulugbek,2,56.0,3,5,31000
4152,Mirzo Ulugbek,2,45.0,3,7,45000
4153,Mirzo Ulugbek,4,86.0,2,5,80000
4154,Mirzo Ulugbek,2,56.0,5,5,31000
4155,Mirzo Ulugbek,3,72.0,4,4,80000
4156,Mirobod,3,75.0,3,4,74000
4157,Shayhontohur,2,47.0,4,4,36000
4158,Mirzo Ulugbek,2,55.0,2,3,29000
4159,Mirzo Ulugbek,2,65.0,3,4,47000
4160,Mirzo Ulugbek,2,55.0,2,2,29500
4161,Mirzo Ulugbek,3,72.0,4,5,67000
4162,Mirobod,2,64.0,4,4,52000
4163,Mirzo Ulugbek,2,60.0,5,5,31000
4164,Yunusobod,4,100.0,3,5,85000
4165,Mirzo Ulugbek,3,65.0,3,4,38000
4166,Chilonzor,1,32.0,2,5,26500
4167,Chilonzor,1,42.0,2,5,26000
4168,Chilonzor,1,45.0,2,5,29500
4169,Chilonzor,1,36.0,1,5,27500
4170,Chilonzor,2,50.0,2,4,38500
4171,Chilonzor,2,60.0,3,4,38000
4172,Chilonzor,2,50.0,1,4,35000
4173,Mirzo Ulugbek,1,40.0,3,3,30000
4174,Mirzo Ulugbek,5,100.0,4,4,48000
4175,Mirzo Ulugbek,3,115.0,2,9,115000
4176,Shayhontohur,3,71.0,2,6,45000
4177,Shayhontohur,4,90.0,5,5,65000
4178,Mirzo Ulugbek,2,60.0,4,4,44000
4179,Shayhontohur,3,72.0,4,9,60000
4180,Yunusobod,2,62.0,1,4,40500
4181,Mirzo Ulugbek,4,93.0,3,5,62000
4182,Chilonzor,3,65.0,5,5,50000
4183,Uchtepa,3,70.0,5,5,40100
4184,Bektemir,4,94.0,9,9,40000
4185,Chilonzor,1,32.0,4,4,25500
4186,Uchtepa,2,72.0,5,12,40000
4187,Mirzo Ulugbek,2,45.0,1,4,22000
4188,Chilonzor,2,46.0,3,5,35000
4189,Mirobod,1,45.0,3,9,59000
4190,Chilonzor,3,88.0,6,8,50000
4191,Yashnobod,3,69.8,2,7,45370
4192,Mirzo Ulugbek,3,72.0,2,8,48500
4193,Yunusobod,1,38.0,4,4,26000
4194,Mirzo Ulugbek,4,85.0,2,4,69900
4195,Yashnobod,2,60.0,2,6,30000
4196,Mirzo Ulugbek,3,86.0,2,5,57000
4197,Shayhontohur,2,65.0,3,4,56500
4198,Yashnobod,2,60.0,6,9,80000
4199,Yakkasaroy,2,95.0,8,9,130000
4200,Mirzo Ulugbek,3,74.0,9,9,54000
4201,Yakkasaroy,2,51.14,5,5,56000
4202,Uchtepa,4,80.0,2,5,51500
4203,Mirzo Ulugbek,3,105.0,5,6,86000
4204,Yakkasaroy,2,70.0,8,9,48000
4205,Mirzo Ulugbek,2,65.0,2,4,68000
4206,Mirzo Ulugbek,3,80.0,4,4,37000
4207,Mirzo Ulugbek,2,48.0,1,4,28000
4208,Mirzo Ulugbek,1,38.0,1,4,39500
4209,Chilonzor,1,38.0,2,4,24000
4210,Yakkasaroy,3,72.0,1,5,72898
4211,Mirzo Ulugbek,1,23.8,2,4,21000
4212,Uchtepa,2,50.0,1,4,38000
4213,Yashnobod,1,28.0,1,3,19000
4214,Yunusobod,3,68.0,4,4,70000
4215,Yakkasaroy,4,96.0,9,9,49000
4216,Chilonzor,2,52.0,1,4,34500
4217,Yakkasaroy,5,118.0,9,9,50000
4218,Mirzo Ulugbek,2,40.0,1,3,25499
4219,Shayhontohur,2,55.0,4,9,33000
4220,Uchtepa,3,65.0,4,4,34200
4221,Mirobod,2,48.6,3,4,43700
4222,Sergeli,2,52.0,1,4,41000
4223,Mirobod,3,72.0,3,9,52000
4224,Uchtepa,4,88.0,5,5,45000
4225,Shayhontohur,2,58.0,3,4,57000
4226,Chilonzor,2,62.0,3,4,39500
4227,Chilonzor,2,60.0,2,5,38500
4228,Chilonzor,2,50.0,2,5,35500
4229,Chilonzor,2,50.0,2,4,33500
4230,Chilonzor,1,36.0,2,4,25500
4231,Chilonzor,1,30.0,4,4,24500
4232,Chilonzor,1,40.0,3,4,28500
4233,Chilonzor,1,42.0,2,5,26500
4234,Shayhontohur,3,72.0,8,9,55000
4235,Chilonzor,2,50.0,1,4,35500
4236,Chilonzor,3,90.0,8,9,42000
4237,Mirobod,2,69.0,9,10,62000
4238,Chilonzor,2,56.0,1,4,49000
4239,Uchtepa,2,80.0,8,8,41744
4240,Chilonzor,2,57.0,8,9,36000
4241,Yunusobod,2,55.0,2,4,33000
4242,Yakkasaroy,3,100.0,7,9,77000
4243,Yakkasaroy,1,39.0,1,5,27500
4244,Chilonzor,2,49.0,1,4,43000
4245,Uchtepa,4,80.0,4,5,40000
4246,Shayhontohur,2,50.0,8,12,31000
4247,Chilonzor,4,125.0,3,9,210000
4248,Chilonzor,2,44.0,1,4,30000
4249,Uchtepa,2,47.0,1,4,31500
4250,Mirobod,3,65.0,4,4,35000
4251,Yunusobod,2,57.0,3,4,35500
4252,Yunusobod,4,90.0,2,4,64000
4253,Yunusobod,5,110.0,4,5,58000
4254,Yashnobod,2,58.0,2,4,62000
4255,Yunusobod,2,58.0,3,9,34000
4256,Yunusobod,3,70.0,2,4,55000
4257,Mirobod,4,122.0,3,5,65000
4258,Yakkasaroy,2,48.0,5,9,23000
4259,Uchtepa,2,72.0,4,6,55000
4260,Sergeli,2,59.0,2,7,25000
4261,Yakkasaroy,3,101.0,4,9,65000
4262,Mirobod,3,60.0,3,4,40000
4263,Shayhontohur,2,47.0,4,4,36000
4264,Mirobod,3,90.0,4,5,46700
4265,Mirobod,3,85.0,5,9,74000
4266,Uchtepa,2,50.0,3,4,35000
4267,Uchtepa,2,56.0,6,9,34400
4268,Yakkasaroy,2,48.0,5,9,23000
4269,Olmzor,3,145.0,1,4,95000
4270,Chilonzor,1,32.0,1,4,26000
4271,Yakkasaroy,4,198.0,5,8,280000
4272,Yashnobod,3,75.0,6,9,58000
4273,Mirzo Ulugbek,3,77.0,3,5,55000
4274,Olmzor,2,58.0,2,9,37000
4275,Uchtepa,1,18.0,4,4,12300
4276,Mirzo Ulugbek,2,50.0,3,4,33500
4277,Mirzo Ulugbek,2,50.0,3,5,39000
4278,Mirobod,4,120.0,1,4,135000
4279,Shayhontohur,2,68.0,4,4,70000
4280,Chilonzor,4,76.0,3,4,59000
4281,Mirzo Ulugbek,5,110.0,2,4,78800
4282,Sergeli,2,58.0,2,5,34000
4283,Yashnobod,1,18.0,3,4,11500
4284,Chilonzor,2,60.0,4,9,47000
4285,Mirobod,3,100.0,2,4,75000
4286,Uchtepa,2,40.0,5,5,29000
4287,Shayhontohur,4,130.0,7,7,94000
4288,Olmzor,3,77.36,1,7,64600
4289,Uchtepa,2,48.0,1,4,36500
4290,Mirzo Ulugbek,5,213.0,5,6,220000
4291,Yakkasaroy,4,86.0,8,9,52000
4292,Uchtepa,2,51.0,1,4,35500
4293,Olmzor,3,72.0,1,5,45000
4294,Chilonzor,3,58.9,3,4,55000
4295,Yunusobod,2,70.0,2,4,68000
4296,Chilonzor,4,100.0,3,4,56000
4297,Mirzo Ulugbek,3,79.0,3,5,75000
4298,Yashnobod,3,135.0,8,9,99900
4299,Yunusobod,4,177.0,5,5,179000
4300,Mirobod,4,170.0,2,7,259000
4301,Yunusobod,3,110.0,2,9,100000
4302,Yashnobod,5,207.0,5,6,119900
4303,Mirzo Ulugbek,5,208.0,1,5,119900
4304,Chilonzor,3,105.0,5,10,126000
4305,Mirzo Ulugbek,3,121.0,5,10,109000
4306,Mirobod,3,127.0,7,12,135000
4307,Mirzo Ulugbek,1,30.0,2,4,27300
4308,Shayhontohur,3,100.0,7,9,55000
4309,Chilonzor,3,70.0,2,4,56000
4310,Chilonzor,3,70.0,2,5,46000
4311,Chilonzor,2,54.0,2,5,36500
4312,Chilonzor,2,68.0,4,4,38500
4313,Chilonzor,2,60.0,4,9,41500
4314,Chilonzor,2,50.0,2,5,35500
4315,Chilonzor,2,68.0,4,4,38500
4316,Chilonzor,1,32.0,2,4,27000
4317,Chilonzor,1,46.0,2,4,30500
4318,Chilonzor,1,32.0,2,4,28500
4319,Mirobod,4,166.0,5,9,129500
4320,Chilonzor,1,40.0,4,5,26500
4321,Chilonzor,2,45.0,1,4,36500
4322,Yunusobod,3,67.0,4,4,40000
4323,Yakkasaroy,2,64.0,1,5,42000
4324,Chilonzor,2,60.0,5,9,45000
4325,Yashnobod,2,70.0,2,4,34500
4326,Yashnobod,2,70.0,2,4,35000
4327,Yashnobod,2,70.0,2,4,45000
4328,Yakkasaroy,4,167.0,4,7,370000
4329,Yashnobod,5,321.0,1,1,48000
4330,Mirzo Ulugbek,2,65.0,6,9,55000
4331,Yunusobod,1,32.0,1,4,23000
4332,Yakkasaroy,2,48.0,5,9,23000
4333,Chilonzor,2,42.0,3,4,36000
4334,Chilonzor,2,57.0,4,4,37500
4335,Yakkasaroy,1,38.0,2,5,26700
4336,Chilonzor,3,67.0,5,5,35000
4337,Uchtepa,3,73.0,5,5,38500
4338,Mirobod,3,110.0,7,9,70000
4339,Uchtepa,3,72.0,4,9,43500
4340,Chilonzor,3,67.0,3,4,57000
4341,Olmzor,3,70.0,3,4,48000
4342,Mirzo Ulugbek,1,41.0,3,4,31000
4343,Mirzo Ulugbek,2,60.0,5,9,42000
4344,Mirzo Ulugbek,2,42.0,5,5,31000
4345,Chilonzor,3,70.0,3,4,65000
4346,Chilonzor,3,100.0,3,9,79000
4347,Chilonzor,2,54.0,3,4,36500
4348,Chilonzor,3,62.0,4,4,42500
4349,Chilonzor,2,43.0,4,4,35000
4350,Chilonzor,2,50.0,5,5,42000
4351,Chilonzor,2,58.0,4,9,47000
4352,Chilonzor,2,52.0,5,5,45000
4353,Sergeli,4,95.0,5,9,46500
4354,Chilonzor,4,84.0,3,4,62000
4355,Chilonzor,1,25.0,3,9,21500
4356,Chilonzor,4,100.0,5,9,56000
4357,Uchtepa,2,50.0,3,5,36000
4358,Uchtepa,2,50.0,4,4,38000
4359,Chilonzor,2,48.0,1,4,36500
4360,Chilonzor,2,67.0,1,9,48000
4361,Uchtepa,3,72.0,5,9,38000
4362,Uchtepa,3,79.0,3,4,50000
4363,Uchtepa,2,40.0,1,4,33000
4364,Uchtepa,3,80.0,12,12,40000
4365,Chilonzor,3,60.0,1,5,53500
4366,Mirzo Ulugbek,4,187.0,2,5,210000
4367,Mirobod,4,112.0,4,9,87000
4368,Yunusobod,1,50.0,7,9,37400
4369,Chilonzor,2,52.0,3,4,42500
4370,Yunusobod,4,100.0,4,4,72500
4371,Mirobod,3,61.0,4,4,60000
4372,Yangihayot,3,56.0,5,7,41000
4373,Mirzo Ulugbek,1,47.0,2,9,42000
4374,Yakkasaroy,2,48.0,5,9,23000
4375,Yunusobod,3,72.0,3,4,68000
4376,Yakkasaroy,1,33.0,4,5,32000
4377,Uchtepa,5,27.7,1,1,85000
4378,Olmzor,4,80.0,2,4,47000
4379,Shayhontohur,3,83.0,3,9,44500
4380,Mirzo Ulugbek,2,57.85,2,7,38600
4381,Yunusobod,4,83.0,3,5,55500
4382,Chilonzor,5,190.0,1,9,150000
4383,Mirzo Ulugbek,3,64.0,3,5,47000
4384,Mirzo Ulugbek,2,55.0,2,4,35000
4385,Sergeli,3,78.0,8,9,42000
4386,Mirzo Ulugbek,2,60.0,3,5,38000
4387,Yunusobod,3,90.18,4,5,46500
4388,Yunusobod,3,70.0,3,4,47000
4389,Chilonzor,2,42.0,1,3,35000
4390,Uchtepa,1,26.4,1,4,18500
4391,Mirobod,2,54.0,2,4,65000
4392,Mirobod,4,98.0,5,9,106000
4393,Chilonzor,2,48.0,2,4,35500
4394,Yakkasaroy,2,78.0,4,8,100000
4395,Chilonzor,2,57.0,8,9,35000
4396,Yakkasaroy,4,135.0,5,6,70000
4397,Shayhontohur,4,172.0,2,4,150000
4398,Mirobod,2,54.0,3,4,39900
4399,Yakkasaroy,2,48.0,5,9,23000
4400,Shayhontohur,3,82.0,2,8,115000
4401,Olmzor,3,125.0,1,8,115000
4402,Yunusobod,2,57.0,6,9,68000
4403,Mirobod,2,60.0,4,9,79000
4404,Mirobod,2,56.0,4,4,60000
4405,Mirobod,2,112.0,9,9,90000
4406,Mirobod,3,68.0,9,9,90000
4407,Chilonzor,2,55.0,1,4,31500
4408,Mirobod,3,105.0,1,5,90000
4409,Mirobod,4,232.0,7,12,340000
4410,Yunusobod,2,45.0,2,5,39500
4411,Yakkasaroy,3,91.0,6,8,135000
4412,Shayhontohur,4,200.0,5,9,150000
4413,Mirzo Ulugbek,4,124.0,1,10,155000
4414,Yunusobod,1,38.0,4,5,25500
4415,Yakkasaroy,1,38.0,2,5,26700
4416,Chilonzor,2,50.0,1,4,38000
4417,Mirobod,2,65.0,3,9,54000
4418,Yunusobod,3,80.0,3,7,72000
4419,Yashnobod,2,65.0,4,9,55000
4420,Mirobod,3,75.0,2,4,74000
4421,Yakkasaroy,2,40.0,1,4,37000
4422,Uchtepa,4,100.0,1,4,57700
4423,Mirobod,3,90.0,7,9,77000
4424,Yunusobod,3,100.0,4,8,88000
4425,Yakkasaroy,2,48.0,5,9,23000
4426,Mirobod,4,120.0,5,9,145000
4427,Yakkasaroy,4,200.0,4,8,250000
4428,Yunusobod,3,65.0,3,4,76000
4429,Mirzo Ulugbek,2,59.0,4,8,42000
4430,Yakkasaroy,2,64.0,1,5,42000
4431,Chilonzor,4,105.0,6,9,60000
4432,Chilonzor,3,78.0,7,9,55000
4433,Yakkasaroy,4,100.0,6,9,70000
4434,Chilonzor,3,78.0,5,9,50000
4435,Chilonzor,2,80.0,8,8,48000
4436,Yakkasaroy,2,48.0,5,9,23000
4437,Yakkasaroy,2,51.0,1,5,57000
4438,Yakkasaroy,3,75.0,3,9,53500
4439,Yakkasaroy,1,39.0,1,5,27500
4440,Yakkasaroy,2,48.0,5,9,23000
4441,Yunusobod,4,90.0,4,5,56000
4442,Yakkasaroy,1,39.0,2,5,26700
4443,Yakkasaroy,2,48.0,5,9,23000
4444,Uchtepa,3,72.0,3,9,45500
4445,Yakkasaroy,2,98.0,6,9,160000
4446,Mirzo Ulugbek,3,78.0,5,5,38000
4447,Yunusobod,2,60.0,2,4,75000
4448,Chilonzor,2,50.0,2,4,36000
4449,Yunusobod,1,38.0,4,4,26500
4450,Yunusobod,1,38.0,4,4,26500
4451,Yashnobod,3,62.0,6,7,58000
4452,Bektemir,3,71.2,6,9,27500
4453,Yunusobod,2,65.0,4,4,38000
4454,Mirobod,2,65.0,4,9,79000
4455,Yakkasaroy,2,56.0,4,8,36000
4456,Sergeli,2,70.0,4,9,29500
4457,Mirzo Ulugbek,2,50.0,3,4,33000
4458,Olmzor,3,69.46,1,4,39000
4459,Sergeli,5,120.0,6,9,105000
4460,Yakkasaroy,2,48.0,5,9,23000
4461,Yashnobod,3,83.0,2,6,38663
4462,Mirzo Ulugbek,3,125.0,9,25,193000
4463,Mirzo Ulugbek,2,90.0,9,25,135500
4464,Chilonzor,3,65.0,3,4,37000
4465,Olmzor,4,215.0,10,25,330000
4466,Mirobod,4,95.0,6,9,70000
4467,Uchtepa,2,52.0,3,4,37000
4468,Chilonzor,2,48.0,3,4,33500
4469,Mirobod,1,33.0,2,5,30000
4470,Chilonzor,2,52.0,2,5,37500
4471,Mirobod,3,85.0,1,9,85000
4472,Olmzor,3,82.0,3,9,48000
4473,Uchtepa,2,52.0,3,4,40000
4474,Yakkasaroy,2,45.0,1,4,40000
4475,Chilonzor,2,57.0,4,4,37500
4476,Chilonzor,2,50.0,2,5,37500
4477,Chilonzor,2,50.0,1,5,36000
4478,Chilonzor,1,42.0,2,5,29500
4479,Chilonzor,1,34.0,3,4,28500
4480,Chilonzor,1,42.0,4,5,25500
4481,Uchtepa,2,54.0,3,4,37500
4482,Chilonzor,2,53.0,2,4,34000
4483,Yakkasaroy,1,38.0,2,5,26700
4484,Yashnobod,1,39.0,5,5,23500
4485,Yashnobod,3,69.0,5,5,50000
4486,Uchtepa,2,48.0,1,4,37000
4487,Yakkasaroy,2,60.0,4,4,75000
4488,Olmzor,2,56.0,2,4,36000
4489,Yashnobod,2,50.0,1,3,28000
4490,Uchtepa,2,48.0,3,4,38000
4491,Uchtepa,1,26.0,1,4,19000
4492,Mirzo Ulugbek,3,70.0,9,9,48000
4493,Yashnobod,1,20.0,2,4,15500
4494,Chilonzor,2,52.0,1,4,49000
4495,Yashnobod,3,70.0,9,9,35900
4496,Yunusobod,2,55.0,1,2,26500
4497,Chilonzor,1,28.0,2,2,21500
4498,Chilonzor,2,45.0,1,4,42000
4499,Yunusobod,2,54.0,1,4,38500
4500,Yakkasaroy,2,60.0,1,4,56000
4501,Yashnobod,4,107.0,9,12,62000
4502,Yunusobod,2,65.0,2,4,38500
4503,Chilonzor,2,45.0,3,4,37500
4504,Yunusobod,2,56.0,3,4,39000
4505,Yunusobod,2,55.0,1,9,41000
4506,Yakkasaroy,2,48.0,5,9,23000
4507,Mirzo Ulugbek,3,85.0,4,4,88000
4508,Yunusobod,2,58.0,2,4,41000
4509,Chilonzor,2,48.0,1,4,40000
4510,Uchtepa,3,68.0,2,4,40000
4511,Yunusobod,3,70.0,3,4,75000
4512,Yunusobod,2,65.0,5,9,42000
4513,Chilonzor,2,50.0,2,4,36500
4514,Yunusobod,2,60.0,3,5,44000
4515,Shayhontohur,3,110.0,3,7,105000
4516,Shayhontohur,4,100.0,1,9,77501
